value,variants
Satara,Satara |
Nidadavole,Nidadavole |
Umaria,Umaria |
Mangaldoi,Mangaldoi |
Mudabidri,Mudabidri |
Zamania,Zamania |
Rapar,Rapar |
Tiptur,Tiptur |
Arakkonam,Arakkonam |
Sopore,Sopore |
Tarana,Tarana |
Mangaluru,Mangaluru |
guwahati,guwahati |
Baharampur,Baharampur |
Karur,Karur |
Sahaspur,Sahaspur |
Parli,Parli |
Khair,Khair |
Chennai,Chennai |
Shahabad,Shahabad |
Karimganj,Karimganj |
Sahaswan,Sahaswan |
jaipur,jaipur |
Guntakal,Guntakal |
Dhamtari,Dhamtari |
Savanur,Savanur |
Mahidpur,Mahidpur |
Mathura,Mathura |
Sainthia,Sainthia |
Puthuppally,Puthuppally |
Kochi,Kochi |
Safipur,Safipur |
Jagtial,Jagtial |
Muktsar,Muktsar |
Rahatgarh,Rahatgarh |
Patiala,Patiala |
Ahmedabad,Ahmedabad |
Ratia,Ratia |
Reengus,Reengus |
Charkhi Dadri,Charkhi |Dadri |
Varanasi,Varanasi |
chennai,chennai |madras |
Sugauli,Sugauli |
Lalgudi,Lalgudi |
Sidhpur,Sidhpur |
Tirukkoyilur,Tirukkoyilur |
Tirupathur,Tirupathur |
Sadri,Sadri |
Port Blair,Port Blair |Blair |
Vedaranyam,Vedaranyam |
Yavatmal,Yavatmal |
Vikarabad,Vikarabad |
Todabhim,Todabhim |
Phagwara,Phagwara |
Purwa,Purwa |
Bharuch,Bharuch |
Bathinda,Bathinda |
Wardha,Wardha |
Thiruvananthapuram,Thiruvananthapuram |
Sitapur,Sitapur |
Sidhi,Sidhi |
Rupnagar,Rupnagar |
Achhnera,Achhnera |
Kanpur,Kanpur |
Vyara,Vyara |
Raghogarh Vijaypur,Raghogarh |Vijaypur |
Sandi,Sandi |
Piriyapatna,Piriyapatna |
Ujjain,Ujjain |
Mahbubnagar,Mahbubnagar |
Achalpur,Achalpur |
Nongstoin,Nongstoin |
Vita,Vita |
Naugawan Sadat,Naugawan |Sadat |
Sasaram,Sasaram |
Ghaziabad,Ghaziabad |
Mokokchung,Mokokchung |
Sonipat,Sonipat |
Loni,Loni |
Jind,Jind |
Sohna,Sohna |
Motipur,Motipur |
Nawabganj,Nawabganj |
Tarikere,Tarikere |
Fatehpur Sikri,Fatehpur |Sikri |
Sujangarh,Sujangarh |
Karjat,Karjat |
Powayan,Powayan |
Giridih,Giridih |
Madhepura,Madhepura |
Amritsar,Amritsar |
Sanduru,Sanduru |
Wanaparthy,Wanaparthy |
Cherthala,Cherthala |
Hardwar,Hardwar |
Umred,Umred |
East,east |
Simdega,Simdega |
Bahraich,Bahraich |
Kandukur,Kandukur |
Yadgir,Yadgir |
Lucknow,Lucknow |
Muzaffarpur,Muzaffarpur |
Rajapalayam,Rajapalayam |
Rajura,Rajura |
Kayamkulam,Kayamkulam |
Ranibennur,Ranibennur |
Wani,Wani |
Nepanagar,Nepanagar |
Nagapattinam,Nagapattinam |
Afzalpur,Afzalpur |
Meerut,Meerut |
Palampur,Palampur |
Attingal,Attingal |
Batala,Batala |
Rajaldesar,Rajaldesar |
Ladnu,Ladnu |
Pithoragarh,Pithoragarh |
Malpura,Malpura |
Palladam,Palladam |
Padra,Padra |
Mangrulpir,Mangrulpir |
Partur,Partur |
Nahan,Nahan |
Ladwa,Ladwa |
Amalapuram,Amalapuram |
Pilibhit,Pilibhit |
Najibabad,Najibabad |
Maihar,Maihar |
Unjha,Unjha |
Patti,Patti |
Sikanderpur,Sikanderpur |
Tirwaganj,Tirwaganj |
Chalakudy,Chalakudy |
Shahdol,Shahdol |
Siliguri,Siliguri |
Shamli,Shamli |
Sardarshahar,Sardarshahar |
Pandharpur,Pandharpur |
Kathua,Kathua |
Savner,Savner |
Modinagar,Modinagar |
Thiruthuraipoondi,Thiruthuraipoondi |
Gokak,Gokak |
Ichalkaranji,Ichalkaranji |
lucknow,lucknow |
Baripada Town,Baripada |Baripada Town |
Patratu,Patratu |
Dharmavaram,Dharmavaram |
Mhowgaon,Mhowgaon |
Pali,Pali |
Ottappalam,Ottappalam |
Anand,Anand |
Chittur Thathamangalam,Chittur |Thathamangalam |
Tindivanam,Tindivanam |
Thirumangalam,Thirumangalam |
Nuzvid,Nuzvid |
Takhatgarh,Takhatgarh |
Washim,Washim |
Sarsod,Sarsod |
Lahar,Lahar |
Sanawad,Sanawad |
Nandura,Nandura |
Peddapuram,Peddapuram |
Lakhisarai,Lakhisarai |
Rau,Rau |
Narasapuram,Narasapuram |
Pallapatti,Pallapatti |
Ranavav,Ranavav |
Siruguppa,Siruguppa |
Rudauli,Rudauli |
Tirora,Tirora |
Dibrugarh,Dibrugarh |
Tulsipur,Tulsipur |
Tohana,Tohana |
Bhawanipatna,Bhawanipatna |
Alipurduar,Alipurduar |
Pukhrayan,Pukhrayan |
Diphu,Diphu |
Sibsagar,Sibsagar |
Peravurani,Peravurani |
Akot,Akot |
Jhumri Tilaiya,Jhumri |Jhumri Tilaiya |
Mankachar,Mankachar |
Namakkal,Namakkal |
Nakodar,Nakodar |
Salur,Salur |
Niwai,Niwai |
Nirmal,Nirmal |
Tirur,Tirur |
Gohana,Gohana |
Sahjanwa,Sahjanwa |
Maner,Maner |
Nellikuppam,Nellikuppam |
New Delhi,Delhi | New Delhi
Ankleshwar,Ankleshwar |
Sankari,Sankari |
Paramakudi,Paramakudi |
Pauri,Pauri |
Mainaguri,Mainaguri |
Chittoor,Chittoor |
Bankura,Bankura |
Adoor,Adoor |
Rewari,Rewari |
Memari,Memari |
Imphal,Imphal |
ahmedabad,ahmedabad |ahmdabad |amdavad
Mudalagi,Mudalagi |
Titlagarh,Titlagarh |
Bapatla,Bapatla |
Mahesana,Mahesana |
Panchkula,Panchkula |
Tura,Tura |
Dehradun,Dehradun |
Kozhikode,Kozhikode |
Tuensang,Tuensang |
Etawah,Etawah |
Bhiwani,Bhiwani |
Medinipur,Medinipur |
Shirur,Shirur |
Robertson Pet,Robertson |Robertson Pet |
Ujhani,Ujhani |
Vinukonda,Vinukonda |
Mapusa,Mapusa |
Pehowa,Pehowa |
Mandvi,Mandvi |
Wadhwan,Wadhwan |
Eluru,Eluru |
Manasa,Manasa |
Miryalaguda,Miryalaguda |
Vidisha,Vidisha |
Mahasamund,Mahasamund |
Munger,Munger |
Madhubani,Madhubani |
Malkapur,Malkapur |
Motihari,Motihari |
Gopalganj,Gopalganj |
Dhule,Dhule |
Udaipur,Udaipur |
Palai,Palai |
Gooty,Gooty |
Alwar,Alwar |
Korba,Korba |
Rajsamand,Rajsamand |
Deesa,Deesa |
Malegaon,Malegaon |
Umarga,Umarga |
Rangia,Rangia |
Warhapur,Warhapur |
Rampurhat,Rampurhat |
Hajipur,Hajipur |
Parlakhemundi,Parlakhemundi |
Warud,Warud |
Faridabad,Faridabad |
Narsinghgarh,Narsinghgarh |
Buxar,Buxar |
Gurdaspur,Gurdaspur |
Pattukkottai,Pattukkottai |
Sanchore,Sanchore |
Palwal,Palwal |
kolkata,kolkata |calcutta
Kurnool,Kurnool |
Virar,Virar |
Ganjbasoda,Ganjbasoda |
Margao,Margao |
Firozpur Cantt,Firozpur |Cantt |
Taraori,Taraori |
Natham,Natham |
Sendhwa,Sendhwa |
Nilambur,Nilambur |
Shrigonda,Shrigonda |
Mahe,Mahe |
Kothagudem,Kothagudem |
Mungeli,Mungeli |
Kakinada,Kakinada |
Sundargarh,Sundargarh |
Revelganj,Revelganj |
Kancheepuram,Kancheepuram |
Indore,Indore |
Pedana,Pedana |
Shirdi,Shirdi |
Bagaha,Bagaha |
Neemuch,Neemuch |
Nagarkurnool,Nagarkurnool |
Sarangpur,Sarangpur |
Durg,Durg |
Palghar,Palghar |
Tinsukia,Tinsukia |
Purna,Purna |
Uravakonda,Uravakonda |
Madikeri,Madikeri |
Tiruvethipuram,Tiruvethipuram |
Sirsi,Sirsi |
Morvi,Morvi |
Uttar Pradesh,UP | Uttar Pradesh |
Tekkalakote,Tekkalakote |
Sirsa,Sirsa |
Udupi,Udupi |
Saunda,Saunda |
Ranaghat,Ranaghat |
Bikaner,Bikaner |
Chhapra,Chhapra |
Sangli,Sangli |
Palitana,Palitana |
Manwath,Manwath |
Kovvur,Kovvur |
Perambalur,Perambalur |
Rohtak,Rohtak |
Thiruvallur,Thiruvallur |
Sankarankovil,Sankarankovil |
Yemmiganur,Yemmiganur |
Modasa,Modasa |
Rafiganj,Rafiganj |
Raghunathpur,Raghunathpur |
Moga,Moga |
Thanesar,Thanesar |
Srikakulam,Srikakulam |
Manawar,Manawar |
Mahalingapura,Mahalingapura |
Nelamangala,Nelamangala |
Naihati,Naihati |
Noida,Noida |
Gudivada,Gudivada |
Sadulpur,Sadulpur |
Perumbavoor,Perumbavoor |
Sadasivpet,Sadasivpet |
Khanna,Khanna |
Mandideep,Mandideep |
Tiruchengode,Tiruchengode |
Tiruvannamalai,Tiruvannamalai |
Tharad,Tharad |
Barnala,Barnala |
Shivamogga,Shivamogga |
Veraval,Veraval |
Sangamner,Sangamner |
West,West |
Vijapur,Vijapur |
Ramgarh,Ramgarh |
Rampur Maniharan,Rampur |Maniharan |
Purnia,Purnia |
Niwari,Niwari |
Nathdwara,Nathdwara |
Sivagiri,Sivagiri |
Bettiah,Bettiah |
Arwal,Arwal |
Saharanpur,Saharanpur |
Karimnagar,Karimnagar |
Mohali,Mohali |
Lunawada,Lunawada |
Ahmednagar,Ahmednagar |
Gumia,Gumia |
Vellore,Vellore |
Nanded,Nanded |
Malur,Malur |
Lingsugur,Lingsugur |
Lal Nindaura,Lal Nindaura |Nindaura |
Narkhed,Narkhed |
Forbesganj,Forbesganj |
Vellakoil,Vellakoil |
Madanapalle,Madanapalle |
Jamui,Jamui |
Warisaliganj,Warisaliganj |
Shegaon,Shegaon |
Nanjikottai,Nanjikottai |
Naharlagun,Naharlagun |
Agartala,Agartala |
Talegaon Dabhade,Talegaon |Dabhade |
Ramagundam,Ramagundam |
Nokha,Nokha |
Sakaleshapura,Sakaleshapura |
Kyathampalle,Kyathampalle |
Lohardaga,Lohardaga |
Bhainsa,Bhainsa |
Robertsganj,Robertsganj |
Sakti,Sakti |
Mandi Dabwali,Mandi Dabwali |Dabwali |
Panaji,Panaji |
Phaltan,Phaltan |
Sangareddy,Sangareddy |
Phulabani,Phulabani |
Pasan,Pasan |
Sihor,Sihor |
Valparai,Valparai |
Tiruchirappalli,Tiruchirappalli |
Marigaon,Marigaon |
Mul,Mul |
Proddatur,Proddatur |
Nadiad,Nadiad |
Shahade,Shahade |
Pattran,Pattran |
Samalkha,Samalkha |
Hindupur,Hindupur |
Sheoganj,Sheoganj |
Uran Islampur,Uran |Islampur |
Thammampatti,Thammampatti |
Kohima,Kohima |
goa,goa |
Tonk,Tonk |
Karnal,Karnal |
Mandla,Mandla |
Mandapeta,Mandapeta |
Palwancha,Palwancha |
Nargund,Nargund |
bhopal,bhopal |
Mayang Imphal,Mayang |Imphal |
Panruti,Panruti |
Ratangarh,Ratangarh |
Dalli Rajhara,Dalli |Rajhara |
Dhuri,Dhuri |
Faridkot,Faridkot |
Sambhal,Sambhal |
Marhaura,Marhaura |
Keshod,Keshod |
Pallikonda,Pallikonda |
Unnamalaikadai,Unnamalaikadai |
Pathanamthitta,Pathanamthitta |
Tasgaon,Tasgaon |
Masaurhi,Masaurhi |
Rayachoti,Rayachoti |
Sundarnagar,Sundarnagar |
Venkatagiri,Venkatagiri |
Tanuku,Tanuku |
pune,pune
Tandur,Tandur |
Tiruvuru,Tiruvuru |
Reoti,Reoti |
Phulpur,Phulpur |
Petlad,Petlad |
Mansa,Mansa |
Sumerpur,Sumerpur |
Malavalli,Malavalli |
Rayadurg,Rayadurg |
Shiggaon,Shiggaon |
Kashipur,Kashipur |
Panvel,Panvel |
Rasra,Rasra |
Paradip,Paradip |
Upleta,Upleta |
Sholavandan,Sholavandan |
Periyakulam,Periyakulam |
Bhimavaram,Bhimavaram |
hyderabad,hyderabad
